MO_Name;Weekday;Hour;Number
Филёвский Парк;пн;0.0;69.25341511053745
Щукино;пн;0.0;62.404899684740336
Нагатинский Затон;пн;0.0;88.4184544939278
Дмитровский;пн;0.0;99.76069846055641
Тёплый Стан;пн;0.0;49.76788118670951
Ховрино;пн;0.0;92.97404927403929
Ломоносовский;пн;0.0;81.08687402001743
Можайский;пн;0.0;90.74288988229195
Строгино;пн;0.0;85.90833386592396
Крылатское;пн;0.0;64.78668705827049
Головинский;пн;0.0;14.882294709640576
Южное Тушино;пн;0.0;64.44220638796294
Северное Тушино;пн;0.0;81.68313593733687
Черёмушки;пн;0.0;24.902575611145807
Покровское-Стрешнево;пн;0.0;89.59827232555027
Хорошёво-Мнёвники;пн;0.0;8.897836822212678
Очаково-Матвеевское;пн;0.0;53.317308949910114
Тропарёво-Никулино;пн;0.0;40.86567864962202
Левобережный;пн;0.0;57.49840306905677
Фили-Давыдково;пн;0.0;25.763818778134826
Обручевский;пн;0.0;39.338823160178414
Раменки;пн;0.0;74.25068988458534
Войковский;пн;0.0;60.19477579226344
Сокол;пн;0.0;98.43646303799426
Западное Дегунино;пн;0.0;34.6536480845665
Проспект Вернадского;пн;0.0;1.5191992413440714
Ясенево;пн;0.0;49.339628463638405
Дорогомилово;пн;0.0;2.2480463799648076
Коньково;пн;0.0;20.092652834443648
Хорошёвский;пн;0.0;73.69328528220981
Беговой;пн;0.0;83.7424847976722
Коптево;пн;0.0;76.41511479273973
Аэропорт;пн;0.0;64.44379526962342
Пресненский;пн;0.0;41.58768461710831
Бескудниковский;пн;0.0;49.833993647972655
Гагаринский;пн;0.0;40.64993574348923
Тимирязевский;пн;0.0;6.057946908790635
Лианозово;пн;0.0;7.845146148382598
Хамовники;пн;0.0;16.92665705837748
Восточное Дегунино;пн;0.0;26.229145009492385
Савёловский;пн;0.0;78.83705358332348
Академический;пн;0.0;97.15487458570998
Зюзино;пн;0.0;94.29411042593424
Алтуфьевский;пн;0.0;47.40367995766239
Марфино;пн;0.0;0.9759724929975344
Чертаново Центральное;пн;0.0;23.61574700502218
